date,ticker,price
2024-01-01,AAPL,148.60677987653594
2024-01-02,AAPL,148.9146953092161
2024-01-03,AAPL,148.2981612910762
2024-01-04,AAPL,147.03567056827293
2024-01-05,AAPL,147.82129617876933
2024-01-06,AAPL,147.60259036753936
2024-01-07,AAPL,147.87909732287534
2024-01-08,AAPL,148.98212749830273
2024-01-09,AAPL,147.93430197334163
2024-01-10,AAPL,147.75402712557766
2024-01-11,AAPL,147.8312961596796
2024-01-12,AAPL,147.95352354260524
2024-01-13,AAPL,148.53135035722306
2024-01-14,AAPL,147.97359986960853
2024-01-15,AAPL,149.11769065357836
2024-01-16,AAPL,148.72226208458278
2024-01-17,AAPL,147.92880112184216
2024-01-18,AAPL,147.80718129692764
2024-01-19,AAPL,147.7101780434909
2024-01-20,AAPL,146.88227395807985
